Country,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under-five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,Income_composition_of_resources,Schooling
Grenada,Developing,71.7,167,0,9.06,662.2663687,91,0,41.1,0,91,5.99,91,0.1,6764.722867,,0,15.1
El Salvador,Developing,72,191,2,2.36,469.3904193,89,0,52.8,2,89,6.91,89,0.3,3474.392445,6164626,0.662,12.9
Guinea,Developing,59,284,26,,0,54,243,23.3,40,42,,54,0.5,554.48766,1291533,0.414,8.8
Kenya,Developing,62.9,255,56,0.01,170.9626624,92,354,21.3,79,93,5.72,92,2.9,1335.6458,462425,0.546,11.1
Gabon,Developing,59.7,322,2,8.13,443.4750634,,63,3.3,3,44,3.26,45,11.1,5685.577736,136425,0.64,12.3
Seychelles,Developing,72.4,18,0,6.51,16.49232317,99,0,33.5,0,99,3.59,99,0.1,184.68447,8977,0.74,13.2
Czechia,Developed,75.3,12,0,13.47,0,86,4,59.9,0,97,6.8,98,0.1,,,,
Czechia,Developed,75.1,123,0,13.36,0,,6,59.4,0,97,6.42,98,0.1,,,,
Serbia,Developing,73.8,132,1,9.3,772.8700353,99,201,55.1,1,93,1.2,94,0.1,5458.121718,7381579,0.743,13.5
Mauritania,Developing,62.5,29,8,0.01,62.48419552,8,35,28.8,12,8,3.36,8,1.2,1364.283745,383239,0.491,7.8
Guatemala,Developing,75,192,13,2.4,380.9632429,85,0,45.2,16,85,6.86,85,0.4,2489.955836,137286,0.578,10.1
Tunisia,Developing,73.7,17,4,1.34,321.7694175,92,22,5.6,4,95,5.36,95,0.1,2761.969249,9939678,0.667,13.5
Philippines,Developing,66.8,219,69,4.73,11.69704463,7,7120,17.8,90,74,3.21,78,0.1,138.91977,77991569,0.618,11.4
Austria,Developed,81,8,0,12.5,7453.8644,85,20,53.7,0,85,1.4,85,0.1,46586.6525,8295487,0.86,15.2
Barbados,Developing,74.1,115,0,8.39,181.5000856,84,0,47.7,0,85,5.27,84,0.1,15646.5591,,0.766,14.8
Republic of Moldova,Developing,71.7,163,1,10.49,0,91,27,52.1,1,92,1.5,9,0.1,,,,
Serbia,Developing,75.6,121,1,,0,94,383,6,1,95,,95,0.1,5237.255334,795383,0.775,14.4
Albania,Developing,77.2,84,0,4.76,430.8769785,99,0,56.5,1,99,5.66,99,0.1,4414.72314,289592,0.759,14.2
Gabon,Developing,59.8,37,2,9.29,183.6980778,,5129,28.7,3,44,3.23,45,10.1,3976.14887,1262259,0.633,12.3
Bolivia (Plurinational State of),Developing,66.8,216,11,3.47,0,84,0,47.3,14,85,4.96,84,0.2,,,0.626,14.1
Algeria,Developing,75.6,19,21,,0,95,63,59.5,24,95,,95,0.1,4132.76292,39871528,0.743,14.4
Brazil,Developing,73.3,159,65,7.19,394.9321299,99,0,49.4,73,99,8.28,99,0.1,7313.557962,19126637,0.7,13.5
Pakistan,Developing,63.5,185,366,0.01,24.23455671,63,4740,17.9,466,69,2.61,67,0.1,563.594342,1477341,0.465,5.6
Zambia,Developing,58,526,33,2.25,1.860003739,81,459,18.8,52,83,6.11,81,15.9,13.154199,12383446,0.479,10.9
United States of America,Developed,78.8,16,24,8.82,0,9,55,68,28,93,17.2,94,0.1,,,,
Egypt,Developing,68.6,178,59,0.15,0,98,164,52.3,72,98,5.41,98,0.1,,,0.621,11.3
Solomon Islands,Developing,68,193,0,1.09,19.74929219,89,0,44.7,0,94,5.97,89,0.1,125.79167,54477,0.489,9.2
Poland,Developed,75.7,136,2,10.7,1299.159757,98,115,57.8,3,96,7.12,99,0.1,11527.59323,3815163,0.818,15.1
Sao Tome and Principe,Developing,67.1,192,0,0.01,200.6600988,97,0,29.3,0,97,9.76,97,0.2,1619.532678,18745,0.559,11
Greece,Developing,86,74,0,7.46,2183.106986,98,3,65.4,0,99,9.26,99,0.1,21874.8195,1965211,0.86,17.1
Bosnia and Herzegovina,Developing,75.2,12,0,4.14,39.86518043,,18,49.4,0,87,7.94,87,0.1,2214.732246,3779247,0,12.1
Turkmenistan,Developing,66.3,215,6,,0,99,0,48.6,7,99,,99,0.1,6432.668768,5565284,0.688,10.8
Uruguay,Developing,77,116,0,,0,95,0,64,0,95,,95,0.1,15524.84247,3431552,0.794,15.5
Swaziland,Developing,47.8,564,3,5.53,437.0802438,93,0,28.2,4,88,6.81,87,43.7,2937.36723,112514,0.502,9.9
Bhutan,Developing,69.8,211,0,,0,99,11,24.5,0,98,,99,0.5,2613.645177,787386,0.604,12.5
Benin,Developing,59.3,251,25,0.01,9.80407467,8,288,24.1,39,8,4.86,8,1.3,837.9551,972916,0.458,10
Georgia,Developing,73.9,126,1,6.18,110.1138286,84,334,49.2,1,89,8.39,88,0.1,1872.68416,4136,0.714,12.6
Panama,Developing,76.4,124,1,6.16,76.2508038,85,0,51.9,2,84,6.31,85,0.2,668.8667,345387,0.743,12.9
Argentina,Developing,74.1,137,12,7.68,1349.025282,,6,54,14,88,9.21,83,0.1,7669.273916,3757452,0.764,15
Lebanon,Developing,74.9,97,1,1.29,14.55610463,81,1761,64.9,1,75,6.63,81,0.1,846.285153,527612,0.766,13.3
Turkey,Developing,74.5,114,20,1.53,1275.877569,96,111,62.8,23,97,5.29,97,0.1,11341.13395,7349455,0.737,13.8
Netherlands,Developed,82,68,1,9.53,9689.732784,,10,57.3,1,97,9.36,97,0.1,51241.31562,16381696,0.899,16.6
United Republic of Tanzania,Developing,57.5,36,89,4.19,0,91,167,2.7,131,94,5.3,91,4.6,,,,
Kiribati,Developing,64.6,217,0,0.49,70.75572222,79,0,69.7,0,96,9.1,77,0.1,826.58554,87343,0,11.7
Mauritania,Developing,69,221,8,0.01,55.79836969,68,22,24.8,12,68,3.21,68,1.3,944.134851,322653,0.466,7.2
Namibia,Developing,66.1,232,3,0.01,760.6550553,89,1028,34.1,3,89,8.53,89,2.5,5488.131712,231652,0.625,11.6
United States of America,Developed,78.9,16,23,8.82,0,91,187,68.6,27,93,16.9,94,0.1,,,,
Mongolia,Developing,67.4,225,2,4.26,181.0123284,96,31,44.9,2,95,5.58,96,0.1,2139.625631,2628131,0.673,13.4
Latvia,Developed,75,229,0,10.4,1099.248837,94,7,57.4,0,96,6.8,96,0.1,9667.9757,2218357,0.807,16.2
Chad,Developing,57,37,46,0.47,4.982900401,24,165,16.7,80,32,3.31,24,4.4,84.455939,1152786,0.343,6.3
United States of America,Developed,77.5,112,28,8.52,0,93,66,63.8,33,92,15.15,96,0.1,,,,
Czechia,Developed,75.9,114,0,13.19,0,99,0,61.3,0,96,6.93,97,0.1,,,,
Grenada,Developing,77,178,0,9.61,81.11355954,96,0,38.2,0,96,7.67,96,0.1,519.958715,,0,14.3
Croatia,Developed,78,95,0,,0,94,206,63.7,0,94,,94,0.1,11579.6674,42364,0.823,15.3
Kiribati,Developing,65.8,22,0,0.01,137.2591943,95,0,76.7,0,91,1.15,95,0.1,1724.361737,18535,0.589,11.9
Namibia,Developing,65.9,242,2,0.01,751.3982719,88,477,34.9,3,88,8.93,88,2.2,5421.343953,237992,0.632,11.7
Qatar,Developing,76.3,87,0,0.76,170.0494537,93,23,63.3,0,93,2.56,93,0.1,2843.63635,,0.809,12.6
Viet Nam,Developing,75.4,131,29,3.94,0,95,750,14.7,36,96,6.2,95,0.1,,,0.655,12
Maldives,Developing,78,129,0,1.98,41.30688803,98,0,15.6,0,97,5.84,98,0.1,298.67598,292,0.587,11.8
Australia,Developed,82.5,61,1,9.87,11734.85381,91,158,65.5,1,91,9.36,91,0.1,67792.3386,23117353,0.933,20.3
Rwanda,Developing,65.2,233,12,0.01,11.71090655,98,17,2.1,17,98,7.69,98,0.5,688.8768557,1165151,0.485,10.8
Mauritius,Developing,71.5,177,0,4.38,70.15536981,92,0,25.8,0,93,3.87,92,0.1,3792.182152,1196287,0.673,12.2
The former Yugoslav republic of Macedonia,Developing,74.4,111,0,1.77,0,95,5,56.9,0,96,6.74,96,0.1,,,0.73,13
Mali,Developing,57.3,275,53,0.01,36.86104319,69,221,22.5,86,7,6.58,69,1.6,777.659139,16477818,0.421,8
Ireland,Developed,85,69,0,11.49,6616.695125,95,107,6.5,0,95,8.32,95,0.1,49231.36254,4586897,0.895,18.5
Vanuatu,Developing,69.1,179,0,0.91,163.105292,68,7,41.9,0,67,3.37,7,0.1,1362.61731,18929,0,10.1
South Africa,Developing,69,371,43,7.34,978.5905287,7,25,49.5,54,73,8.78,73,4.5,6876.953821,53311955.61,0.652,12.8
Azerbaijan,Developing,68.4,162,6,0.73,81.28883085,49,1238,44.7,7,79,7.86,75,0.1,1578.4239,839185,0.675,11.2
Estonia,Developing,76.1,138,0,0.01,2146.945741,94,7,58,0,93,5.83,93,0.1,17454.84342,1327439,0.838,16.4
Ireland,Developed,77.4,88,0,14.17,5092.383814,,243,52.9,0,83,6.85,83,0.1,32539.1937,3931947,0.862,16.5
Senegal,Developing,59,251,25,0.33,62.21977893,,1519,18.7,44,73,5.4,73,0.7,642.7663113,16799,0.401,5.9
Guinea,Developing,52.5,336,36,0.17,19.89790929,,7408,16.9,58,52,3.65,5,3,315.83983,8971139,0.322,5.1
Tonga,Developing,72.5,146,0,2.05,568.8692813,87,0,7.8,0,88,5.82,87,0.1,2932.315883,12357,0.698,14.5
Republic of Korea,Developing,82,66,1,0.01,0,99,442,31.2,2,99,7.37,99,0.1,,,,
Burundi,Developing,53.4,369,24,5.54,1.747440948,87,0,14.1,37,82,9.84,87,4.3,15.57434,7423289,0.286,5.6
Bolivia (Plurinational State of),Developing,63.9,234,14,2.26,0,77,0,44,18,76,6.53,77,0.1,,,0.61,14
Japan,Developed,82.6,67,3,7.29,6599.995239,,0,25.4,4,97,8.25,98,0.1,35275.22843,1281,0.877,15
Syrian Arab Republic,Developing,73.7,123,8,0.97,122.6523334,83,517,48.5,10,83,3.78,8,0.1,1762.24617,18914977,0.636,11.4
Ecuador,Developing,74.4,148,8,3.65,16.37920405,88,0,46.5,9,9,6.22,88,0.3,278.557892,1359647,0.682,12.7
Turkey,Developing,74.2,116,21,1.49,32.78235828,96,7,61.9,25,97,5.61,97,0.1,1672.5693,72326914,0.715,13
Kyrgyzstan,Developing,71.1,166,3,,0,97,17779,44.9,3,97,,97,0.1,,,0.662,13
Grenada,Developing,72.4,158,0,8.42,146.4384488,99,0,43.1,0,99,6.24,99,0.1,7395.88125,,0,15.6
Bulgaria,Developed,71.6,16,1,10.72,25.06262895,93,8,57.5,1,94,7.23,94,0.1,1764.97387,89142,0.713,12.9
Slovenia,Developed,85,78,0,9.53,259.7786785,,1,58.9,0,95,9.29,95,0.1,2315.31799,259953,0.878,16.8
Saint Lucia,Developing,75.2,138,0,,0,99,0,47.5,0,99,,99,0.1,,,0.735,13.1
Belize,Developing,70,177,0,6.58,670.0920883,95,0,5.1,0,95,5.79,95,0.2,4852.223666,351694,0.705,12.8
Benin,Developing,56.5,285,25,1.13,7.106997355,7,210,2.5,39,73,4.73,7,2.1,61.799977,7982225,0.43,8.5
Hungary,Developed,72.5,184,1,13.24,1030.220271,,0,57.6,1,99,8.42,99,0.1,8396.25323,1129552,0.784,14.9
Guyana,Developing,65.9,221,0,7.52,48.02859441,95,0,42.4,1,95,6.6,95,0.4,326.281212,746556,0.618,10.2
Malta,Developed,87,59,0,6.91,3601.287457,82,3,68,0,96,9.6,96,0.1,22821.847,416268,0.826,14.8
Tajikistan,Developing,65.9,177,11,0.38,2.093721752,81,4,33,13,82,5.7,86,0.3,39.281834,6712841,0.563,10.5
Malawi,Developing,54.1,441,32,1.23,13.77617463,97,26,18,50,97,11.67,97,11.2,512.125451,15627618,0.444,10.6
Iran (Islamic Republic of),Developing,72.4,138,25,0.02,0,97,133,5.4,29,98,5.84,99,0.1,,,0.704,11.8
Cuba,Developing,78.7,96,1,4.18,95.67571176,96,0,59.9,1,99,9.48,99,0.1,676.15344,,0.773,14.7
Liberia,Developing,58.1,329,8,0.01,54.37396957,5,34,26.7,11,49,1.4,5,0.9,458.4651734,439737,0.426,9.9
Venezuela (Bolivarian Republic of),Developing,73.6,158,9,7.92,0,88,0,56.5,11,8,4.69,87,0.1,,,0.7,11.8
Latvia,Developed,74.6,153,0,,0,94,0,61.2,0,95,,95,0.1,13666.58336,1977527,0.828,16
Colombia,Developing,73.6,15,13,4.34,941.6464045,92,0,53.5,15,92,7.1,92,0.1,5148.422113,45416181,0.691,12.4
Equatorial Guinea,Developing,53.1,334,3,5.07,197.7839552,,1339,18.7,4,43,1.78,35,2.3,2283.87939,639762,0.527,8
Slovakia,Developed,74,141,0,10.81,0,99,0,53.1,0,99,7.4,99,0.1,,,0.784,14
Guatemala,Developing,71.7,187,10,1.88,657.5282797,73,0,49.9,13,65,6.2,73,0.4,3687.763767,15923559,0.614,10.7
Burkina Faso,Developing,59,27,40,4.64,88.97040214,88,375,18.2,66,89,5.91,88,0.7,699.452847,1772723,0.392,7.5
Fiji,Developing,69.6,192,0,0.01,460.6487805,99,0,61.1,0,99,4.26,99,0.1,4763.68956,879715,0.719,15
Paraguay,Developing,72.5,159,3,5.61,318.6201852,86,0,44.2,4,95,6.41,95,0.1,2312.192926,5966159,0.649,12
Peru,Developing,74,133,11,4.29,516.4037021,93,0,5.2,15,93,4.6,93,0.3,3611.2147,28292724,0.696,13.2
El Salvador,Developing,69,218,4,2.79,353.6690328,99,0,45.3,5,98,8.17,99,0.4,2238.4116,5867626,0.607,11.3
Finland,Developing,81.1,76,0,,0,,2,62.1,0,97,,97,0.1,4245.39744,5479531,0.893,17
Bosnia and Herzegovina,Developing,76.8,92,0,4.61,693.8226461,92,22,54.2,0,87,9.94,92,0.1,4716.673325,36482,0.728,13.9
Romania,Developed,74.8,135,2,0.01,1.576409172,94,59,59.9,2,94,5.57,94,0.1,12.27733,1998979,0.797,14.7
Seychelles,Developing,73.2,168,0,,0,98,0,37.4,0,97,,97,0.1,1539.464,93419,0.781,14.1
Uganda,Developing,59.3,347,76,10.22,94.49686776,82,3312,16.7,114,82,9.9,82,6.8,584.3962137,3593648,0.477,10.7
Bahrain,Developing,76.5,71,0,1.7,2211.215778,99,0,61.5,0,99,4.37,99,0.1,23649.36661,,0.812,14.5
Panama,Developing,75.7,121,2,5.58,9.87102142,,0,45.9,2,99,7.76,98,0.2,46.29935,33347,0.716,12.1
Bahamas,Developing,76.1,147,0,,0,95,0,64.5,0,95,,95,0.1,,,0.79,12.6
Romania,Developed,72.5,157,3,8.51,665.6427546,99,3196,54.4,4,97,5.6,97,0.1,5828.745662,2119376,0.755,13.7
Portugal,Developed,79,92,0,12.35,3652.869332,97,1,56.5,0,97,9.9,97,0.1,24815.6884,1558177,0.804,15.8
Guinea-Bissau,Developing,54.4,36,5,3.22,21.53374936,,0,2.7,8,74,5.87,71,5.6,418.94454,1412669,0.388,8.3
Zambia,Developing,58.2,366,29,2.57,183.0461695,81,13234,21.2,44,83,4.26,81,6.3,1644.619672,14264756,0.543,12
Cameroon,Developing,55.9,369,50,0.01,68.55839112,85,609,27.2,76,85,4.34,85,4.6,1255.648189,2182383,0.496,10.4
Guinea-Bissau,Developing,56.7,287,4,3.21,53.30782696,83,26,23.1,7,82,6.7,83,5.9,543.957418,155588,0.405,8.9
Tonga,Developing,72.6,145,0,1.1,569.6255035,84,0,71.5,0,88,5.13,86,0.1,3392.64743,135,0.698,14.5
Somalia,Developing,51.6,334,50,0.01,0,,0,19.8,82,35,,35,0.9,,,,
Singapore,Developed,78.7,76,0,2.08,1003.366877,95,408,28.9,0,95,2.37,96,0.1,21577.7823,,0.82,12.7
Austria,Developed,81.4,66,0,12.32,8350.193523,98,117,57.1,0,98,11.21,98,0.1,51322.63997,8541575,0.892,15.9
Burkina Faso,Developing,56,344,48,4.56,23.1016899,,4174,12.5,93,62,4.85,62,3.6,235.4912324,11944587,0,3.5
Mexico,Developing,76.7,122,30,,0,82,0,63.5,35,87,,87,0.1,9143.128494,12589949,0.758,13.3
Cyprus,Developed,79.1,62,0,12.01,239.6409938,93,1,56.8,0,97,6.89,97,0.1,3539.7488,181563,0.844,13.7
Burundi,Developing,59.6,288,21,,0,94,9,18.7,31,94,,94,0.7,33.681223,119927,0.406,10.6
Papua New Guinea,Developing,59.6,321,11,0.59,124.3789361,67,3863,39.6,14,62,6.79,68,1.4,588.3582595,61724,0.433,7.2
Côte d'Ivoire,Developing,48.7,466,63,3.11,0,76,115,22.1,90,87,5.39,76,6.1,,,,
Algeria,Developing,72.3,14,19,0.45,220.393699,81,3289,47.9,23,86,3.54,86,0.1,2598.9823,3283196,0.673,11.7
Saudi Arabia,Developing,73.7,94,8,0.09,1197.946328,98,334,63.9,9,98,3.49,98,0.1,19259.58726,,0.792,13.3
Mauritania,Developing,62,228,7,0.02,4.113190741,,883,22.3,12,91,5.31,89,1.2,46.9542322,2873228,0.446,6.5
Djibouti,Developing,61.8,268,1,0.39,20.35974738,87,49,32.7,2,87,8.71,87,2.7,143.986898,865937,0.451,5.9
Gambia,Developing,58.5,288,3,2.64,0,97,0,22.2,6,94,5.76,95,3.1,,,0.42,8.4
Democratic Republic of the Congo,Developing,57.4,283,239,1.81,0,6,5407,19.1,321,76,4.4,6,1.6,,,,
Turkmenistan,Developing,65.6,22,7,2.75,579.4128244,98,0,45.9,8,98,1.96,97,0.1,6675.262954,5267839,0.672,10.7
Senegal,Developing,64.9,26,20,0.32,1.431051664,92,18,22.2,31,89,4.42,92,0.4,18.25321,13391,0.455,7.9
Ecuador,Developing,75.1,137,7,3.87,282.1440066,91,0,5,8,91,5.58,94,0.1,4255.56571,14691275,0.702,13.1
New Zealand,Developed,79.9,76,0,9.34,496.2228007,87,20,62.6,0,89,8.65,89,0.1,2667.86452,,0.888,19.1
Sierra Leone,Developing,46.2,441,29,3.91,5.379606465,77,44,2.7,44,75,1.29,77,1.9,46.3759178,6165372,0.367,8.3
Nauru,Developing,,,0,0.01,15.60659587,87,0,87.3,0,87,4.65,87,0.1,136.18321,,,9.6
Albania,Developing,73.6,14,1,4.25,96.20557078,96,18,46,1,97,6,97,0.1,1326.97339,36173,0.662,10.6
Malawi,Developing,48.5,559,37,1.18,4.269511381,87,143,16.6,59,88,9.31,87,19.3,32.2227274,1384969,0.387,9.7
Denmark,Developed,77,14,0,11.34,4801.546125,,32,53.3,0,98,9.33,98,0.1,33228.69291,5375931,0.875,16.6
Hungary,Developed,71.7,193,1,12.22,75.36251406,,1,56.1,1,99,7.6,99,0.1,4623.46712,121971,0.761,13.9
Maldives,Developing,73.4,16,0,1.6,611.9093566,97,37,17.3,0,96,5.89,96,0.1,3853.33348,312,0.617,12.2
Iran (Islamic Republic of),Developing,72,139,27,0.01,0,94,7,48.5,32,95,6.6,95,0.1,,,0.687,11.4
India,Developing,67.3,19,1100,3.1,64.96964491,73,18668,17,1400,79,4.39,82,0.2,1446.98541,126365852,0.59,11.3
Argentina,Developing,74.7,13,11,7.63,719.3663797,81,0,56.3,12,91,6.84,98,0.1,4251.574348,38728696,0.775,16.3
Somalia,Developing,57,352,46,0.01,0,,3571,18.2,75,33,,33,0.8,,,,
Denmark,Developed,78.9,86,0,10.08,9765.616994,,6,56.6,0,89,11.47,89,0.1,58163.29359,552395,0.906,16.8
Sri Lanka,Developing,73.7,149,5,1.62,59.63595674,,139,15.1,5,98,3.89,98,0.1,873.1472436,18939,0.699,12.6
Guinea,Developing,57.3,297,29,0.18,24.84763562,57,264,2.3,46,6,3.85,57,2.3,436.6895539,1556524,0.376,8.1
Lithuania,Developed,76,229,0,12.7,116.504961,95,1,58.7,0,94,6.2,94,0.1,924.642548,326999,0.807,16.4
Swaziland,Developing,55,438,2,5.2,735.7090978,91,0,3.2,3,85,8.61,91,15.7,3934.27325,1225258,0.526,11.2
Turkmenistan,Developing,65.6,215,6,2.35,37.88466056,97,0,43.4,8,97,1.88,96,0.1,436.459223,5795,0,10.5
Bahrain,Developing,76.7,7,0,1.65,3.968695982,99,0,62.2,0,99,4.69,99,0.1,251.18329,,0.815,14.5
Romania,Developed,78,179,4,9.78,180.1095132,98,10,51.9,5,99,4.36,99,0.1,1839.72945,2213197,0.708,11.7
Viet Nam,Developing,75.6,13,29,4.12,0,97,578,15.3,36,97,6.96,97,0.1,,,0.662,12.2
Nepal,Developing,68,178,23,0.24,84.62302524,82,190,16.4,30,83,6.43,82,0.2,592.1835216,2723137,0.515,11.1
Mongolia,Developing,68.8,222,1,,0,99,20359,52.7,1,99,,99,0.1,3944.1839,2976877,0.733,14.8
Saudi Arabia,Developing,73.1,11,9,0.05,1117.048134,97,373,6.2,10,96,3.42,96,0.1,13739.82945,,0.761,12.4
Uganda,Developing,53.2,446,99,10.09,44.52614001,64,22,14.5,155,59,9.36,64,8.7,315.788227,2854394,0.429,10.9
Kuwait,Developing,73.3,94,0,0.01,1209.680547,99,0,65,1,99,3.56,99,0.1,17789.41981,,0.785,13.9
Honduras,Developing,74.5,149,3,2.87,345.3776344,97,0,5.2,4,97,8.72,97,0.3,2242.711912,889216,0.618,11.4
Armenia,Developing,74.4,121,1,3.89,274.1526986,95,0,52.6,1,96,4.48,95,0.1,3684.8481,2881922,0.732,12.7
Bahamas,Developing,74.2,171,0,11.07,0,96,0,58.7,0,94,6.93,95,0.1,,,0.788,12.4
Yemen,Developing,62.2,247,42,0.06,0,43,12708,33.3,56,72,4.9,72,0.1,,,0.464,8.4
Sri Lanka,Developing,74.5,138,3,2.31,191.7267589,99,79,19.8,4,99,3.43,99,0.1,2819.511161,2119,0.739,13.5
Viet Nam,Developing,74,137,30,2.19,0,78,2297,1.4,37,96,4.84,99,0.2,,,0.592,10.9
Bhutan,Developing,62.5,282,1,0.29,151.9755193,83,27,14.9,1,89,7.75,86,0.1,885.6382245,66399,0,8
Philippines,Developing,68,219,59,4.42,159.5348489,85,1469,22.1,76,86,4.41,87,0.1,1825.341521,9222879,0.661,11.7
Finland,Developing,83,86,0,9.81,71.01620838,,27,6.6,0,99,9.1,99,0.1,579.72415,5388272,0.878,16.9
Bolivia (Plurinational State of),Developing,63.3,238,14,2.2,0,77,0,43.3,19,71,6.31,71,0.1,,,0.607,13.7
Jamaica,Developing,75.8,133,1,3.83,427.3054534,92,0,53.5,1,93,5.36,92,0.5,4855.743789,286287,0.727,12.8
Liberia,Developing,57.9,286,10,4.03,3.686899287,,1,22.9,14,67,1.24,65,2.8,21.3733292,3512932,0.383,9.9
Djibouti,Developing,58,325,2,1.02,94.13302875,,37,29.4,2,68,6.22,68,4.2,819.974118,758615,0.378,3.5
Sweden,Developed,83,7,0,6.6,5793.363644,,5,54.9,0,99,9.9,99,0.1,42442.2245,8993531,0.888,16
Swaziland,Developing,45.9,6,3,5.65,2.819124474,9,350,27.1,4,87,5.71,85,50.6,22.99449,187392,0.493,9.1
South Sudan,Developing,58,383,29,,0,,0,,46,,,,3.5,,751642,0,0
Hungary,Developed,75.8,134,0,,0,,0,64.8,0,99,,99,0.1,12365.6263,984328,0.834,15.6
Norway,Developed,81.1,67,0,6.53,277.3550522,,39,59.4,0,94,9.14,94,0.1,1574.9861,495388,0.939,17.6
Democratic Republic of the Congo,Developing,58.8,272,238,0.01,0,74,88381,2.6,314,74,3.89,74,1.2,,,,
Jordan,Developing,73.9,114,4,0.4,546.6235156,98,120,64,4,98,7.23,98,0.1,3992.86717,8413464,0.737,13.1
Uzbekistan,Developing,69.4,184,15,,0,99,22,44.7,17,99,,99,0.1,2137.576852,312989,0.697,12.1
Mali,Developing,52,299,59,0.54,6.660451777,79,232,17,106,67,6.25,63,2.2,391.791281,125128,0.318,5.2
Estonia,Developing,74.2,167,0,16.99,225.0723618,94,0,56.7,0,95,6.6,95,0.1,1894.5485,13379,0.835,16.1
Honduras,Developing,74.3,15,4,3.11,311.7553193,97,0,49.3,4,97,9.15,97,0.4,2136.77395,8657785,0.614,11.6
Chile,Developing,79.8,86,2,7.26,211.614293,94,6,61.2,2,93,7,94,0.1,1475.69242,17153357,0.82,15.4
Portugal,Developed,78,99,0,13.45,276.0999798,94,5,53.3,1,95,9.84,95,0.1,1845.5881,1483861,0.792,15.9
Burkina Faso,Developing,51.6,332,49,4.58,41.60951275,,2946,13.3,92,83,5.61,79,2.9,332.344351,12654621,0,3.8
United States of America,Developed,79.1,14,23,8.82,0,92,667,69.1,27,93,17.14,95,0.1,,,,
Panama,Developing,76.8,127,1,6.87,1092.155356,85,0,53.4,2,85,7.56,85,0.1,7429.628274,3579385,0.755,12.8
Netherlands,Developed,81.1,63,1,8.96,1047.370244,2,51,59.9,1,97,1.53,97,0.1,5354.6536,1669374,0.911,17.2
Finland,Developing,79.2,96,0,10.15,524.7775227,,0,58.6,0,97,8.38,97,0.1,4112.67651,5266268,0.869,17.2
Tunisia,Developing,73.2,11,4,1.19,257.2878697,94,231,48.9,5,98,5.29,98,0.1,2254.933126,978571,0.654,13.1
Ecuador,Developing,74.7,14,7,3.63,19.60467787,94,0,48.6,9,95,5.94,96,0.2,359.71886,1425453,0.696,12.9
Eritrea,Developing,63.6,274,6,0.01,0,94,194,17,8,94,2.98,94,0.6,,,0.41,5
Kuwait,Developing,74.6,82,0,0.01,2480.896965,96,55,7.8,1,94,3.4,95,0.1,42996.4812,,0.787,13
Qatar,Developing,78.1,69,0,1.15,5063.513104,89,46,68.4,0,99,2.19,89,0.1,86852.7119,,0.854,13.4
Namibia,Developing,65.8,232,3,0.01,796.8734263,84,86,33.3,4,84,8.24,84,3.7,5749.44752,2263934,0.619,11.5
Angola,Developing,52.4,335,66,,0,64,118,23.3,98,7,,64,1.9,3695.793748,2785935,0.531,11.4
Fiji,Developing,68.3,214,0,2.02,64.39203443,99,0,55.1,0,97,3.61,96,0.1,3658.63832,821817,0.699,13.9
Viet Nam,Developing,75.2,133,29,3.93,0,88,2809,14,35,94,6.36,93,0.1,,,0.647,11.9
Cabo Verde,Developing,73,152,0,3.81,150.7434862,,0,22.1,0,91,5.19,9,0.8,1268.884564,443716,0.562,11
Iraq,Developing,70,144,30,0.2,0,67,726,49.5,37,83,,8,0.1,,23565413,0.603,8.6
Poland,Developed,76.7,128,2,10.93,250.0773782,98,0,59.1,2,96,6.7,99,0.1,13893.18768,3863255,0.829,15.4
Singapore,Developed,82,61,0,1.84,4540.543752,96,50,31.8,0,96,3.96,96,0.1,46569.67951,,0.889,14.5
Bolivia (Plurinational State of),Developing,65.1,226,12,2.66,0,84,0,45.4,16,84,5.22,84,0.2,,,0.62,14.6
Colombia,Developing,71.8,163,17,4.45,393.8773633,78,139,48.2,20,83,5.67,81,0.1,2355.725857,41572491,0.656,11.5
United States of America,Developed,78.7,15,25,8.55,0,92,63,66.9,30,93,17.2,95,0.1,,,,
Syrian Arab Republic,Developing,73,134,9,1.29,94.75639211,81,801,46,11,85,5.12,83,0.1,1253.39143,17415266,0.599,10.3
Uzbekistan,Developing,67.1,189,30,1.6,48.50941741,,80,34.8,36,99,5.29,99,0.1,558.221144,24654,0,10.6
Gambia,Developing,58.7,287,3,2.79,0,98,0,22.8,6,96,5.95,96,3,,,0.426,8.6
Czechia,Developed,75.2,122,0,13.01,0,92,30,6.4,0,97,7.13,97,0.1,,,,
Italy,Developed,81.3,63,2,8.37,5228.821581,97,321,59.4,2,97,8.48,97,0.1,37698.78573,5843831,0.862,16.1
Denmark,Developed,77.7,98,0,11.27,6948.839868,,0,54.4,0,95,9.67,95,0.1,46511.6457,544523,0.893,16.5
Uzbekistan,Developing,67.8,184,22,2.15,9.290983645,99,863,38.7,26,98,5.81,96,0.3,83.476942,26868,0.631,11.8
Malawi,Developing,44.6,613,43,1.08,4.375316094,84,167,15.2,70,85,6.35,84,24.2,26.152517,12336687,0.362,10.3
Guyana,Developing,65.2,24,1,7.04,170.6325842,93,0,39.6,1,92,4.67,93,1.1,1945.6395,74961,0.622,11.7
